delaytimes_ms,delay_ms
24.582,105.21428571428571
24.583,106.66666666666667
24.584,109.39393939393939
24.585,111.6
24.592,105.96296296296296
24.593,107.61764705882354
24.594,110.04545454545455
24.602,104.25
24.603,105.51515151515152
24.604,107.28125
24.605,109.81818181818181
24.606,111.0
24.612,106.0
24.613,106.75862068965517
24.614,108.70967741935483
24.615,110.0
24.622,105.66666666666667
24.623,106.0
24.624,105.625
24.625,106.36842105263158
24.626,107.0
24.627,107.0
24.632,102.76923076923077
24.633,102.88888888888889
24.634,103.0
24.635,103.92307692307692
24.636,105.33333333333333
24.637,106.33333333333333
24.638,106.85714285714286
24.642,103.0
24.643,102.0
24.644,101.75
24.645,101.22222222222223
24.646,101.5
24.647,103.0
24.648,105.25
24.649,105.6
24.652,103.0
24.653,103.0
24.654,104.26923076923077
24.655,107.73333333333333
24.656,109.54545454545455
24.662,104.0
24.663,104.56666666666666
24.664,106.56666666666666
24.665,109.96428571428571
24.666,111.0
24.672,105.0
24.673,105.39393939393939
24.674,107.55172413793103
24.675,111.03333333333333
24.683,105.96774193548387
24.684,108.09375
24.685,111.64
24.693,106.29032258064517
24.694,107.96666666666667
24.695,109.70588235294117
24.703,105.5
24.704,107.71875
24.705,109.6969696969697
24.714,105.36666666666666
24.715,107.46875
24.716,109.17857142857143
24.723,105.28571428571429
24.724,107.37931034482759
24.725,109.06666666666666
24.733,103.11111111111111
24.734,105.67857142857143
24.735,108.27586206896552
24.736,109.0
24.743,102.0
24.744,102.66666666666667
24.745,105.13793103448276
24.746,108.48
24.747,109.0
24.753,103.0
24.754,103.04545454545455
24.755,104.25
24.756,107.42857142857143
24.757,109.38888888888889
24.763,104.0
24.764,104.82352941176471
24.765,107.6896551724138
24.766,110.45833333333333
24.773,105.0
24.774,105.03448275862068
24.775,107.39393939393939
24.776,110.78260869565217
24.784,104.91304347826087
24.785,106.13793103448276
24.786,108.7
24.787,110.66666666666667
24.794,105.58333333333333
24.795,106.40625
24.796,108.3125
24.797,110.94117647058823
24.804,105.75
24.805,106.42424242424242
24.806,108.16666666666667
24.807,110.54545454545455
24.814,106.0
24.815,106.87096774193549
24.816,108.5625
24.824,102.0
24.825,102.77777777777777
24.826,105.5
24.827,107.46875
24.828,108.52941176470588
24.834,103.6
24.835,105.14285714285714
24.836,108.3103448275862
24.837,109.5909090909091
24.845,103.42105263157895
24.846,105.57142857142857
24.847,108.48148148148148
24.854,103.0
24.855,103.07142857142857
24.856,105.03448275862068
24.857,108.56666666666666
24.858,109.4
24.864,104.0
24.865,104.2
24.866,105.81481481481481
24.867,109.10714285714286
24.868,110.0
24.875,104.39285714285714
24.876,105.77777777777777
24.877,108.9
24.878,111.0
24.885,104.6875
24.886,105.71428571428571
24.887,107.46666666666667
24.888,110.33333333333333
24.895,107.05263157894737
24.896,124.55172413793103
24.897,153.17241379310346
24.905,185.73684210526315
24.906,228.6451612903226
24.907,283.40625
24.908,319.75
24.915,337.63157894736844
24.916,383.8787878787879
24.917,441.65625
24.918,471.75
24.925,470.5
24.926,498.96666666666664
24.927,550.2666666666667
24.928,591.0
24.935,611.6666666666666
24.936,647.7586206896551
24.937,699.1111111111111
24.938,733.1666666666666
24.945,743.375
24.946,769.16
24.947,813.7333333333333
24.948,861.5384615384615
24.955,879.0
24.956,899.1818181818181
24.957,943.1785714285714
24.958,992.4444444444445
24.959,1031.7777777777778
24.965,1037.0
24.966,1037.3181818181818
24.967,1040.5714285714287
24.968,1044.5666666666666
24.969,1046.7142857142858
24.975,1041.0
24.976,1042.5555555555557
24.977,1046.0714285714287
24.978,1049.68
24.979,1051.5555555555557
24.986,1047.095238095238
24.987,1051.090909090909
24.988,1057.375
24.989,1059.8823529411766
24.99,1060.3333333333333
25.007,1044.0
25.011,1040.0
25.012,1041.125
25.013,1044.142857142857
25.016,1044.3846153846155
25.017,1047.1470588235295
25.018,1050.6
25.019,1050.3333333333333
25.026,1045.923076923077
25.036,1038.0
25.046,1030.0
25.056,1021.3333333333334
25.066,1012.0
25.067,1011.3333333333334
25.077,1002.0
25.087,993.1666666666666
25.097,984.0
25.107,975.1666666666666
25.117,966.0
25.127,956.8333333333334
25.137,947.8571428571429
25.147,939.1666666666666
25.157,930.0
25.167,921.0
25.168,920.0
25.178,911.0
25.188,901.8
25.198,892.6666666666666
25.208,883.8333333333334
25.218,874.75
25.228,865.5714285714286
25.238,856.6
25.248,847.6666666666666
25.258,838.5
25.259,838.0
25.268,829.0
25.269,828.4
25.279,819.0
25.289,810.0
25.299,801.0
25.309,792.0
25.319,783.0
25.329,773.8571428571429
25.339,765.0
25.349,756.0
25.359,747.0
25.36,746.0
25.37,736.8333333333334
25.38,727.8333333333334
25.39,718.8333333333334
25.4,709.8571428571429
25.41,701.0
25.42,692.1428571428571
25.43,683.1428571428571
25.431,683.0
25.44,674.2
25.451,664.3333333333334
25.461,655.0
25.471,646.0
26.12,1.0
26.13,1.0
26.14,1.0
26.151,1.0
26.161,1.0
26.171,1.4761904761904763
26.172,2.6666666666666665
26.173,5.137931034482759
26.174,8.23076923076923
26.175,9.8
26.176,11.714285714285714
26.177,15.363636363636363
26.178,17.40625
26.179,19.75
26.18,23.5
26.181,25.375
26.182,27.655172413793103
26.183,31.17241379310345
26.184,32.892857142857146
26.185,34.206896551724135
26.186,37.142857142857146
26.187,40.43333333333333
26.188,41.96774193548387
26.189,44.76470588235294
26.19,48.233333333333334
26.191,50.0
26.192,52.9
26.193,56.0
26.194,57.464285714285715
26.195,59.42857142857143
26.196,62.9
26.197,64.71428571428571
26.198,66.23333333333333
26.199,69.54545454545455
26.2,72.80645161290323
26.201,74.53125
26.202,77.43333333333334
26.203,80.53125
26.204,82.10344827586206
26.205,84.82758620689656
26.206,87.75
26.207,89.13793103448276
26.208,91.36666666666666
26.209,95.03125
26.21,96.9
26.211,98.75
26.212,102.78787878787878
26.213,105.42424242424242
26.214,107.3
26.215,110.25
26.222,106.24
26.223,107.6774193548387
26.224,109.125
26.232,104.89655172413794
26.233,107.03125
26.234,108.23529411764706
26.242,102.42105263157895
26.243,105.33333333333333
26.244,107.53125
26.245,108.5625
26.252,103.29411764705883
26.253,106.17241379310344
26.254,108.70967741935483
26.255,109.16666666666667
26.262,103.5
26.263,106.07142857142857
26.264,108.85714285714286
26.265,109.54545454545455
26.272,103.5
26.273,104.79310344827586
26.274,108.03703703703704
26.275,109.58333333333333
26.282,104.375
26.283,105.79310344827586
26.284,109.10714285714286
26.285,110.0
26.292,104.0
26.293,104.79310344827586
26.294,106.77777777777777
26.295,110.04166666666667
26.302,105.0
26.303,105.63333333333334
26.304,107.51612903225806
26.305,110.3125
26.312,105.0
